"Timestamp","What is your age?","How often do you use a self-checkout system when you shop?","How clear are the on-screen instructions and labels in general?","Which of these visual issues have bothered you?","Have you ever felt unsure what to do next at self-checkout, what usually causes the problem?","Which features do you think would make the self-checkout better?"
"2025/11/15 7:07:44 PM GMT+1","20 - 29","Often","Somewhat unclear","Icons or symbols I do not understand;Important information is not visible enough (e.g., total price, remaining steps);Colours/contrast make it hard to see what is active or selected","Difficult to return to the previous step;It was not clearly explained what the next step was;Starting the session (e.g., too much text, no clear ""Start Button"")","Less distractions on screen"
"2025/11/15 7:23:16 PM GMT+1","40 - 55","Often","Clear","Text is difficult to read;Za drugo vrsto vrečk (npr. bio) je težje najdet opcijo izbora za razliko od navadnih vrečk, za katere te vedno vpraša na koncu.","Couldn't easily remove or change an item in the cart (e.g., bag added by mistake)",""
"2025/11/15 7:32:43 PM GMT+1","55+","Almost always","Clear","Buttons are too small or too close together","Couldn't easily remove or change an item in the cart (e.g., bag added by mistake)","more simplicity use for the customer"
"2025/11/15 7:37:59 PM GMT+1","55+","Never","","","",""
"2025/11/15 7:39:39 PM GMT+1","55+","Never","","","",""
"2025/11/15 7:46:32 PM GMT+1","30 - 39","Rarely","Acceptable","Important information is not visible enough (e.g., total price, remaining steps)","No",""
"2025/11/15 9:27:29 PM GMT+1","20 - 29","Often","Clear","Buttons are too small or too close together","Difficult to return to the previous step",""
"2025/11/16 10:25:39 AM GMT+1","40 - 55","Rarely","Acceptable","Icons or symbols I do not understand;Text is difficult to read","Difficult to return to the previous step",""
"2025/11/16 12:59:47 PM GMT+1","20 - 29","Almost always","Acceptable","Important information is not visible enough (e.g., total price, remaining steps)","Difficult to return to the previous step;Couldn't easily remove or change an item in the cart (e.g., bag added by mistake)",""
"2025/11/16 1:00:23 PM GMT+1","20 - 29","Often","Clear","Important information is not visible enough (e.g., total price, remaining steps);Colours/contrast make it hard to see what is active or selected","No",""
"2025/11/16 1:01:38 PM GMT+1","20 - 29","Almost always","Acceptable","sometimes you need unnecessary extra steps ","Couldn't easily remove or change an item in the cart (e.g., bag added by mistake);Starting the session (e.g., too much text, no clear ""Start Button"")","No start buttons and no unnecessary clicks to scan loyalty card "
"2025/11/16 1:04:02 PM GMT+1","20 - 29","Almost always","Acceptable","Icons or symbols I do not understand;Important information is not visible enough (e.g., total price, remaining steps)","Difficult to return to the previous step;Couldn't easily remove or change an item in the cart (e.g., bag added by mistake);Payment instructions were unclear","Better audio communication/explanation, more clear directions, on which side to do what. Option for creating account and personalization."
"2025/11/16 3:19:00 PM GMT+1","20 - 29","Often","Very clear","Too slow","Couldn't easily remove or change an item in the cart (e.g., bag added by mistake)","Faster scanning"
"2025/11/16 3:21:34 PM GMT+1","20 - 29","Often","Somewhat unclear","Text is difficult to read;Important information is not visible enough (e.g., total price, remaining steps);Too much text","Difficult to return to the previous step;Couldn't easily remove or change an item in the cart (e.g., bag added by mistake);Payment instructions were unclear;It was not clearly explained what the next step was;Starting the session (e.g., too much text, no clear ""Start Button"")",""
"2025/11/16 3:38:37 PM GMT+1","20 - 29","Almost always","Acceptable","Important information is not visible enough (e.g., total price, remaining steps);Colours/contrast make it hard to see what is active or selected","It was not clearly explained what the next step was",""
"2025/11/16 3:43:10 PM GMT+1","40 - 55","Often","Clear","Important information is not visible enough (e.g., total price, remaining steps)","Difficult to return to the previous step;Payment instructions were unclear;It was not clearly explained what the next step was","ikone včasih niso najbolj jasne"
"2025/11/16 4:04:30 PM GMT+1","40 - 55","Often","Clear","Colours/contrast make it hard to see what is active or selected","Difficult to return to the previous step",""
"2025/11/16 6:32:32 PM GMT+1","40 - 55","Almost always","Clear","Important information is not visible enough (e.g., total price, remaining steps);Colours/contrast make it hard to see what is active or selected","Difficult to return to the previous step;Couldn't easily remove or change an item in the cart (e.g., bag added by mistake);Payment instructions were unclear",""
"2025/11/16 10:15:12 PM GMT+1","20 - 29","Often","Clear","Buttons are too small or too close together","Couldn't easily remove or change an item in the cart (e.g., bag added by mistake)",""
